name,price,Performance_1_to_10,Weight_Proxy,Battery_Proxy,processor,ram,storage,graphics_card,img
Dell Inspiron 3530 OIN353034071RINS1M Laptop,48866,2.7355371900826446,1.8256955970998754,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,Intel Integrated Integrated,https://cdn1.smartprix.com/rx-iYSzjXnIo-w280-h280/dell-inspiron-3530-o.webp
Zebronics ZEB-NBC 5S Laptop,36990,4.12396694214876,1.6149895756665535,8.0,12th Gen Intel Core i7 1255U,16 GB DDR4 RAM,512 GB  ,Intel Integrated,https://cdn1.smartprix.com/rx-iHYJzC0np-w280-h280/zebronics-zeb-nbc-5s.webp
Apple MacBook Air 2022 Laptop,74994,2.884297520661157,1.2484276579296005,9.5,Apple M2,8 GB DDR4 RAM,256 GB  ,8-Core GPU,https://cdn1.smartprix.com/rx-iC1uclsPb-w280-h280/apple-macbook-air-20.webp
Asus Vivobook 15 X1504VA-NJ546WS Laptop,55990,2.7355371900826446,1.70597990598911,8.0,13th Gen Intel Core i5 1335U,16 GB RAM,512 GB  ,Integrated Intel Iris Xe Graphics,https://cdn1.smartprix.com/rx-iAdJpvKre-w280-h280/asus-vivobook-15-x15.webp
HP Victus 15-fa2191TX Gaming Laptop,66400,6.801652892561983,2.4865584566739996,4.0,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050A,https://cdn1.smartprix.com/rx-iKhXwIsow-w280-h280/hp-victus-15-fa2191t.webp
Dell 14 Plus ODB1425550701RINU1 AI Laptop,76490,1.1487603305785123,1.746557439714263,6.5,AMD Ryzen AI 5 340,16 GB LPDDR5X RAM,512 GB  ,AMD Radeon,https://cdn1.smartprix.com/rx-i7HWJjVyl-w280-h280/dell-14-plus-odb1425.webp
HP Omen 16-ae0002TX Gaming Laptop,118900,7.709090909090909,2.4915553044817065,4.0,14th Gen Intel Core i7 14650HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-ifKlH7VeE-w280-h280/hp-omen-16-ae0002tx.webp
Lenovo LOQ 15ARP9 83JC00JYIN Gaming Laptop,84990,4.788429752066116,2.505524791105768,4.0,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iysFqvw3O-w280-h280/lenovo-loq-15arp9-83.webp
MSI Thin 15 B13UC-3231IN Gaming Laptop,66990,6.801652892561983,2.6731839018720556,4.0,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-i5lKpJGRl-w280-h280/msi-thin-15-b13uc-32.webp
HP OmniBook 5 Next Gen AI 14-he0014QU Laptop,68990,1.1487603305785123,1.7845041137733482,8.0,Qualcomm Snapdragon X X1-26-100,16 GB LPDDR5X RAM,512 GB  ,Qualcomm Adreno GPU,https://cdn1.smartprix.com/rx-irlYk4WFA-w280-h280/hp-omnibook-5-next-g.webp
HP 15-fd0574TU Laptop,39499,1.3471074380165289,1.7125855096636666,8.0,13th Gen Intel Core i3 1315U,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iEX0xorux-w280-h280/hp-15-fd0574tu-lapto.webp
Asus TUF Gaming A15 FA566NCR-HN117W Laptop,67990,4.371900826446281,2.661582542385691,4.0,7th Gen AMD Ryzen 7 7435HS,16 GB DDR5 RAM,1 TB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iTtYUWmtK-w280-h280/asus-tuf-gaming-a15.webp
Asus Expertbook P1 P1503CVA-S71074WS Laptop,35990,1.3471074380165289,1.6766154884424989,8.0,13th Gen Intel Core i3 1315U,16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iHH32TN1M-w280-h280/asus-expertbook-p1-p.webp
Motorola Motobook 60 Laptop,54990,1.0,1.66027259496445,5.5,Intel Core 5 210H,16 GB DDR5 RAM,512 GB  ,Intel Integrated,https://cdn1.smartprix.com/rx-iKjrv2HOs-w280-h280/motorola-motobook-60.webp
Acer Aspire 3 A311-45 UN.354SI.002 Laptop,19990,1.0,1.8748184964523573,6.5,Intel Celeron N4500,8 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iPPennwhJ-w280-h280/acer-aspire-3-a311-4.webp
MSI Katana 15 HX B14WFK-641IN Gaming Laptop,134990,6.355371900826446,2.7583059674662738,4.0,14th Gen Intel Core i5 14450HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 5060,https://cdn1.smartprix.com/rx-ixtaSikcd-w280-h280/msi-katana-15-hx-b14.webp
Acer Aspire 3 A324-51 UN.343SI.003 Laptop,34990,2.7355371900826446,1.6800721741609628,8.0,12th Gen Intel Core i5 1235U,16 GB RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i6DEjtfpN-w280-h280/acer-aspire-3-a324-5.webp
Infinix GT Book Gaming Laptop,94990,7.709090909090909,2.625371809207272,4.0,13th Gen Intel Core i9 13900H,32 GB LPDDR5X RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iz3ki2Hb4-w280-h280/infinix-gt-book-gami.webp
Samsung Galaxy Book 4 np750xgj-kg2in Laptop,53270,2.884297520661157,1.8480280446065374,8.0,13th Gen Intel Core i5 1335U,16 GB LPDDR4x RAM,512 GB  ,Intel Iris Xe Graphics,https://cdn1.smartprix.com/rx-ipPNIsNt2-w280-h280/samsung-galaxy-book.webp
Asus Vivobook Go 15 OLED 2023 E1504FA-LK541WS Laptop,39990,2.7107438016528924,1.8639300486523254,8.0,7th Gen AMD Ryzen 5 7520U,16 GB LPDDR5 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-ibZvrxnje-w280-h280/asus-vivobook-go-15.webp
Samsung Galaxy Book2 Laptop,44899,2.884297520661157,1.716636142374321,5.5,12th Gen Intel Core i5 1240P,8 GB LPDDR4x RAM,512 GB  ,4 GB Intel Arc A350M Graphics,https://cdn1.smartprix.com/rx-inza4ZqU1-w280-h280/samsung-galaxy-book2.webp
Lenovo ThinkBook 14 21SGA02WIG Laptop,66317,1.1487603305785123,1.7966821916523676,5.5,Intel Core 5 210H,16 GB DDR5 RAM,512 GB  ,Intel Graphics,https://cdn1.smartprix.com/rx-i8LoRfahC-w280-h280/lenovo-thinkbook-14.webp
Asus Vivobook 15 M1502YA-BQ712WS Laptop,53990,3.925619834710744,1.8449590026188836,8.0,5th Gen AMD Ryzen 7 5825U,16 GB RAM,1 TB  ,Intergrated AMD Radeon Graphics,https://cdn1.smartprix.com/rx-iWVlT2A29-w280-h280/asus-vivobook-15-m15.webp
HP Victus 15-fb3125AX Gaming Laptop,69990,4.669421487603306,2.660938418835267,4.0,7th Gen AMD Ryzen 7 7445H,16 GB DDR5 RAM,512 GB  ,NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-i9h2v5aQl-w280-h280/hp-victus-15-fb3125a.webp
Dell 14 Plus ODB1425550901RINU11 AI Laptop,87990,1.1487603305785123,1.6587796377543154,6.5,AMD Ryzen AI 7 350,16 GB LPDDR5X RAM,1 TB  ,AMD Radeon 860M,https://cdn1.smartprix.com/rx-iIde3DoPH-w280-h280/dell-14-plus-odb1425.webp
Lenovo ThinkBook 16 G6 21KKA0J2IN Laptop,34485,1.322314049586777,1.6165867231345148,8.0,7th Gen AMD Ryzen 3 7330U,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-i2BgLZ6zy-w280-h280/lenovo-thinkbook-16.webp
Asus Chromebook CX1505CKA-S70179 Laptop,19990,1.0,1.620765041121237,6.5,Intel Celeron N4500,4 GB LPDDR4X RAM,64 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i3PIg5uOv-w280-h280/asus-chromebook-cx15.webp
HP Victus 16-r1706TX Gaming Laptop,85990,7.218181818181819,2.4586590133414528,4.0,14th Gen Intel Core i5 14450HX,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iJjnUTDHe-w280-h280/hp-victus-16-r1706tx.webp
Lenovo LOQ â15ARP9 83JC00GDIN AI Gaming Laptop,67990,4.371900826446281,2.690382156874781,4.0,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050 A,https://cdn1.smartprix.com/rx-iXutqaoFt-w280-h280/lenovo-loq-15arp9-83.webp
Lenovo LOQ â15IRX9 83DV00X8IN Gaming Laptop,100690,7.709090909090909,2.5466249030678965,4.0,13th Gen Intel Core i7 13650HX,24 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-irO2sQG5N-w280-h280/lenovo-loq-15irx9-83.webp
Dell Inspiron 14 5440 INDINS5440N0-1 Laptop,36990,1.4958677685950414,1.6865993252090656,8.0,13th Gen Intel Core i3 1305U,16 GB RAM,512 GB  ,Intel Graphics,https://cdn1.smartprix.com/rx-io9tEpBoF-w280-h280/dell-inspiron-14-544.webp
Asus Vivobook 16X K3605VC-RP412W Laptop,63890,6.801652892561983,2.5987119639953153,4.0,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iljnhrC0B-w280-h280/asus-vivobook-16x-k3.webp
Acer Travel Lite TL14-42M Laptop,31800,1.322314049586777,1.8198572005755893,8.0,7th Gen AMD Ryzen 3 7330U,16 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-idDHWly8l-w280-h280/acer-travel-lite-tl1.webp
Asus Expertbook P1 14 P1403CVA-S60940WS Laptop,68990,6.206611570247934,1.8977801697567498,5.5,13th Gen Intel Core i7 13620H,32 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-izYB46dLq-w280-h280/asus-expertbook-p1-1.webp
Lenovo 100e Chromebook Gen 4 82W00004HA Laptop,12999,1.0,1.8531183151651707,6.5,MediaTek Kompanio 520 520,4 GB LPDDR4X RAM,32 GB  ,MediaTek Integrated Arm Mali-G52,https://cdn1.smartprix.com/rx-iaiaW2gSz-w280-h280/lenovo-100e-chromebo.webp
Asus Vivobook 16 X1605VA-MB1627WS Laptop,56890,6.206611570247934,1.7421151252938063,5.5,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,Integrated Intel Iris Xe Graphics,https://cdn1.smartprix.com/rx-iNvb9kGQv-w280-h280/asus-vivobook-16-x16.webp
Apple MacBook Air 2025 Laptop,115990,1.4462809917355373,1.3294391359980553,9.5,Apple M4,16 GB RAM,512 GB  ,Apple 10 Core GPU,https://cdn1.smartprix.com/rx-iwKbUUYsj-w280-h280/apple-macbook-air-20.webp
Asus Vivobook 14 2025 X1407CA-LY102WS Laptop,70990,2.7355371900826446,1.7756273248947188,8.0,Intel Core Ultra 5 225H,16 GB DDR5 RAM,512 GB  ,Intel Integrated Arc,https://cdn1.smartprix.com/rx-iNBZWvh1W-w280-h280/asus-vivobook-14-202.webp
HP Victus 15-fb3009AX Gaming Laptop,71990,3.2462809917355373,2.6546946439702763,4.0,8th Gen AMD Ryzen 5 8645HS,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ibaM2JizY-w280-h280/hp-victus-15-fb3009a.webp
Acer Aspire 3 A311-45 UN.354SI.004 Laptop,15990,1.0,1.6439223400794696,6.5,Intel Celeron N4500,8 GB DDR4 RAM,256 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iPPennwhJ-w280-h280/acer-aspire-3-a311-4.webp
Lenovo LOQ 15ARP9 83JC00EHIN Gaming Laptop,93190,5.279338842975207,2.7559454547672324,4.0,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iQ86Mvrtk-w280-h280/lenovo-loq-15arp9-83.webp
Apple MacBook Pro 16 Laptop,349900,1.1487603305785123,1.2842147959388934,9.5,Apple M4 Max,36 GB RAM,1 TB  ,32 Core GPU,https://cdn1.smartprix.com/rx-igeq1BTqj-w280-h280/apple-macbook-pro-16.webp
Gigabyte G5 MF5-H2IN353KH Gaming Laptop,73700,7.218181818181819,2.532550254756927,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-i4FQEaQYl-w280-h280/gigabyte-g5-mf5-h2in.webp
HP Victus 15-FA1411TX Gaming Laptop,74500,5.413223140495868,2.630428633274448,4.0,12th Gen Intel Core i7 12650H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iaVdft3V9-w280-h280/hp-victus-15-fa1411t.webp
Acer Aspire 7 A715-79G UN.34NSI.002 Gaming Laptop,54990,6.355371900826446,2.636598260329145,4.0,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp
HP Omen 16-xd0015AX Gaming Laptop,99000,4.788429752066116,2.4420713252738135,4.0,7th Gen AMD Ryzen 7 7840HS,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iX659s0R9-w280-h280/hp-omen-16-xd0015ax.webp
HP Pavilion Plus â16-ab0015TX Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11/ 6GB RTX3050 Graphics,86990,6.890909090909091,2.540514861626044,4.0,13th Gen Intel Core i5 13500H,16 GB LPDDR5x RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iGQHFFO3X-w280-h280/hp-pavilion-plus-16.webp
Lenovo V15 G4 â83CR000VIN Laptop,42999,3.925619834710744,1.6100897151937517,8.0,7th Gen AMD Ryzen 7 7730U,16 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-iVmeTtYrm-w280-h280/lenovo-v15-g4-83cr00.webp
